result,r_multiple,end_bar,tp1_hit,entry,exit,symbol,signal,trade_type,rr_signal,signal_time
BE_WIN,0.82,19,False,156.936,155.69643063901137,AAVE/USDT,SELL,trend,2.11,2026-01-21 08:15:00
BE_WIN,0.0,45,False,126.88,126.88,AAVE/USDT,SELL,trend,2.99,2026-02-01 07:00:00
BE_WIN,0.0,7,False,125.355,125.355,AAVE/USDT,SELL,trend,1.73,2026-02-02 04:45:00
BE_WIN,1.43,102,False,128.437,124.36711619891253,AAVE/USDT,SELL,trend,2.81,2026-02-02 17:30:00
LOSS,-1.0,15,False,112.521,115.76196789530705,AAVE/USDT,SELL,trend,3.25,2026-02-07 00:15:00
LOSS,-1.0,24,False,105.7,110.19143541412097,AAVE/USDT,SELL,trend,3.0,2026-02-11 08:00:00
BE_WIN,1.29,7,True,125.406,126.33509902941192,AAVE/USDT,BUY,trend,2.29,2026-02-16 05:45:00
WIN,2.04,31,True,418.818,381.098,ZEC/USDT,SELL,trend,2.04,2026-01-09 20:15:00
BE_WIN,0.0,17,False,296.611,296.611,ZEC/USDT,SELL,trend,2.66,2026-02-01 12:15:00
BE_WIN,2.5,11,False,290.416,316.72702358774944,ZEC/USDT,BUY,trend,2.89,2026-02-14 18:15:00
LOSS,-1.0,9,False,294.659,288.7102030594888,ZEC/USDT,BUY,trend,2.29,2026-02-17 02:15:00
LOSS,-1.0,4,False,268.889,265.6732195137375,ZEC/USDT,BUY,trend,2.12,2026-03-17 12:45:00
BE_WIN,0.0,44,False,0.1024,0.1024,ALGO/USDT,SELL,trend,2.39,2026-02-01 14:15:00
LOSS,-1.0,27,False,0.1043,0.1063270076451551,ALGO/USDT,SELL,trend,3.01,2026-02-03 00:00:00
BE_WIN,0.0,29,False,0.0972,0.0972,ALGO/USDT,SELL,trend,1.59,2026-02-08 00:45:00
BE_WIN,0.0,83,False,0.0866,0.0866,ALGO/USDT,SELL,trend,3.25,2026-02-22 14:30:00
BE_WIN,1.72,16,True,0.086,0.0839378253879405,ALGO/USDT,SELL,trend,2.5,2026-02-23 14:00:00
BE_WIN,0.0,55,False,1.9537,1.9537,DOT/USDT,SELL,trend,2.5,2026-01-20 13:00:00
BE_WIN,0.83,22,False,1.9414,1.9233442697599623,DOT/USDT,SELL,trend,2.66,2026-01-21 07:30:00
BE_WIN,0.0,37,False,1.5165,1.5165,DOT/USDT,SELL,trend,2.56,2026-02-01 14:15:00
LOSS,-1.0,39,False,1.4963,1.542009666482286,DOT/USDT,SELL,trend,2.11,2026-02-02 04:45:00
BE_WIN,0.82,86,False,1.55,1.5262305467351958,DOT/USDT,SELL,trend,3.38,2026-02-02 18:15:00
BE_WIN,0.0,88,False,1.3686,1.3686,DOT/USDT,SELL,trend,3.18,2026-02-06 18:00:00
BE_WIN,0.0,24,False,1.364,1.364,DOT/USDT,SELL,trend,2.39,2026-02-08 02:15:00
LOSS,-1.0,10,False,1.6204,1.5671131715438928,DOT/USDT,BUY,trend,2.48,2026-02-26 13:30:00
BE_WIN,0.0,60,False,2.5854,2.5854,ATOM/USDT,BUY,trend,2.38,2026-01-11 01:15:00
LOSS,-1.0,12,False,2.5729,2.5459152570839754,ATOM/USDT,BUY,trend,2.55,2026-01-12 14:15:00
BE_WIN,0.0,60,False,1.7448,1.7448,ATOM/USDT,SELL,trend,3.37,2026-03-08 12:00:00
BE_WIN,0.0,24,False,3.585,3.585,INJ/USDT,SELL,trend,2.67,2026-02-01 12:15:00
LOSS,-1.0,19,False,3.642,3.7047285288451772,INJ/USDT,SELL,trend,3.32,2026-02-03 00:00:00
LOSS,-1.0,36,False,3.17,3.3278103341760876,INJ/USDT,SELL,trend,3.3,2026-02-07 07:00:00
BE_WIN,0.0,115,False,2.841,2.841,INJ/USDT,SELL,trend,3.26,2026-03-07 19:45:00
BE_WIN,0.0,33,False,1.1801,1.1801,NEAR/USDT,SELL,trend,2.68,2026-02-01 15:00:00
BE_WIN,0.0,37,False,1.2078,1.2078,NEAR/USDT,SELL,trend,3.33,2026-02-02 23:00:00
BE_WIN,0.0,64,False,1.0814,1.0814,NEAR/USDT,SELL,trend,2.17,2026-02-07 00:00:00
LOSS,-1.0,14,False,0.9446,0.9745840218808365,NEAR/USDT,SELL,trend,3.43,2026-02-11 10:30:00
BE_WIN,0.0,1,False,1.3534,1.3534,NEAR/USDT,BUY,trend,2.47,2026-03-03 15:15:00
LOSS,-1.0,4,False,1.3716,1.3461440648181286,NEAR/USDT,BUY,trend,3.27,2026-03-03 20:30:00
LOSS,-1.0,24,False,1.3605,1.338074172159203,NEAR/USDT,BUY,trend,2.44,2026-03-13 16:00:00
